account_id,profile_url,username,display_name,bio,category,intel_value_score,classification_reason
19536434,https://twitter.com/i/user/19536434,@gregpmiller,Greg Miller,Washington Post national security reporter.,JOURNALIST,80,Known JOURNALIST account
775261909780197376,https://twitter.com/i/user/775261909780197376,@kgilsinan,Kathy Gilsinan,Atlantic national security reporter.,JOURNALIST,76,Known JOURNALIST account
1087729678977241089,https://twitter.com/i/user/1087729678977241089,@mgordonwsj,Michael Gordon,WSJ national security reporter.,JOURNALIST,78,Known JOURNALIST account
1616288969108471808,https://twitter.com/i/user/1616288969108471808,@LaurenMLapp,Lauren Lapp,Defense reporter.,JOURNALIST,72,Known JOURNALIST account
1660440916451024897,https://twitter.com/i/user/1660440916451024897,@Tatarigami_UA,Tatarigami,Ukrainian OSINT analyst.,OSINT,85,Known OSINT account
755187659493048320,https://twitter.com/i/user/755187659493048320,@TaraCopp,Tara Copp,Defense reporter.,JOURNALIST,76,Known JOURNALIST account
1297999478327324672,https://twitter.com/i/user/1297999478327324672,@BrittanyDeLea,Brittany De Lea,Defense reporter.,JOURNALIST,72,Known JOURNALIST account
2871405720,https://twitter.com/i/user/2871405720,@A_W_Gordon,Aaron Gordon,Defense and technology journalist.,JOURNALIST,74,Known JOURNALIST account
19386622,https://twitter.com/i/user/19386622,@Tmgneff,Thomas Gibbons-Neff,NYT military correspondent.,JOURNALIST,80,Known JOURNALIST account
1637507099558027267,https://twitter.com/i/user/1637507099558027267,@JSchanzer,Jonathan Schanzer,Foreign policy analyst.,JOURNALIST,74,Known JOURNALIST account
978606266040938496,https://twitter.com/i/user/978606266040938496,@LizGeorge,Liz George,Defense reporter.,JOURNALIST,72,Known JOURNALIST account
776712112286687232,https://twitter.com/i/user/776712112286687232,@A_W_Gordon,Aaron Gordon,Defense journalist.,JOURNALIST,74,Known JOURNALIST account
1152043664509587456,https://twitter.com/i/user/1152043664509587456,@joshrogin,Josh Rogin,Washington Post foreign policy columnist.,JOURNALIST,78,Known JOURNALIST account
27966935,https://twitter.com/i/user/27966935,@EliLake,Eli Lake,Bloomberg columnist.,JOURNALIST,76,Known JOURNALIST account
1513027944851116038,https://twitter.com/i/user/1513027944851116038,@DefenceHQ,Defence HQ,Defense intelligence updates.,OSINT,85,Known OSINT account
1360509398041378817,https://twitter.com/i/user/1360509398041378817,@ShannonVavra,Shannon Vavra,Daily Beast national security reporter.,JOURNALIST,74,Known JOURNALIST account
1188783195468251138,https://twitter.com/i/user/1188783195468251138,@DanielLippman,Daniel Lippman,Politico reporter.,JOURNALIST,74,Known JOURNALIST account
1647474433672757248,https://twitter.com/i/user/1647474433672757248,@NatashaBertrand,Natasha Bertrand,CNN national security reporter.,JOURNALIST,78,Known JOURNALIST account
1346960809533071361,https://twitter.com/i/user/1346960809533071361,@JSchanzer,Jonathan Schanzer,Foreign policy analyst.,JOURNALIST,74,Known JOURNALIST account
1356158825825525761,https://twitter.com/i/user/1356158825825525761,@JackDetsch,Jack Detsch,Foreign Policy reporter.,JOURNALIST,76,Known JOURNALIST account
2383390201,https://twitter.com/i/user/2383390201,@JohnIsmay,John Ismay,NYT military correspondent.,JOURNALIST,78,Known JOURNALIST account
1120633726478823425,https://twitter.com/i/user/1120633726478823425,@HeleneCooper,Helene Cooper,NYT Pentagon correspondent.,JOURNALIST,78,Known JOURNALIST account
1807790885058514944,https://twitter.com/i/user/1807790885058514944,@laraseligman,Lara Seligman,Politico defense reporter.,JOURNALIST,76,Known JOURNALIST account
8956502,https://twitter.com/i/user/8956502,@carolrosenberg,Carol Rosenberg,Journalist.,JOURNALIST,75,Known JOURNALIST account
1666838870607134722,https://twitter.com/i/user/1666838870607134722,@JoeGould,Joe Gould,Defense News reporter.,JOURNALIST,76,Known JOURNALIST account
1128337957289697281,https://twitter.com/i/user/1128337957289697281,@DanLamothe,Dan Lamothe,Washington Post military reporter.,JOURNALIST,78,Known JOURNALIST account
1091830788834947072,https://twitter.com/i/user/1091830788834947072,@DavidLarter,David Larter,Defense News reporter.,JOURNALIST,76,Known JOURNALIST account
1340377354124845058,https://twitter.com/i/user/1340377354124845058,@mgordonwsj,Michael Gordon,WSJ reporter.,JOURNALIST,78,Known JOURNALIST account
1059638356609396736,https://twitter.com/i/user/1059638356609396736,@valerieinsinna,Valerie Insinna,Defense reporter.,JOURNALIST,75,Known JOURNALIST account
1889019333960998912,https://twitter.com/i/user/1889019333960998912,@MarcusReports,Marcus Weisgerber,Defense reporter.,JOURNALIST,76,Known JOURNALIST account
246096212,https://twitter.com/i/user/246096212,@Tmgneff,Thomas Gibbons-Neff,NYT military correspondent.,JOURNALIST,80,Known JOURNALIST account
798046097004343299,https://twitter.com/i/user/798046097004343299,@AaronMehta,Aaron Mehta,Defense News reporter.,JOURNALIST,76,Known JOURNALIST account
264524756,https://twitter.com/i/user/264524756,@jengriffinfnc,Jennifer Griffin,Fox News national security correspondent.,JOURNALIST,78,Known JOURNALIST account
1883257372740591616,https://twitter.com/i/user/1883257372740591616,@LeeHudson,Lee Hudson,Aviation Week reporter.,JOURNALIST,75,Known JOURNALIST account
19465262,https://twitter.com/i/user/19465262,@DavidWood,David Wood,Journalist and author.,JOURNALIST,74,Known JOURNALIST account
4100757148,https://twitter.com/i/user/4100757148,@DanLamothe,Dan Lamothe,Washington Post reporter.,JOURNALIST,78,Known JOURNALIST account
60619478,https://twitter.com/i/user/60619478,@paulmcleary,Paul McLeary,Politico defense reporter.,JOURNALIST,78,Known JOURNALIST account
2571447860,https://twitter.com/i/user/2571447860,@TaraCopp,Tara Copp,Defense reporter.,JOURNALIST,76,Known JOURNALIST account
1669654850227912704,https://twitter.com/i/user/1669654850227912704,@valerieinsinna,Valerie Insinna,Defense reporter.,JOURNALIST,75,Known JOURNALIST account
18949452,https://twitter.com/i/user/18949452,@gregpmiller,Greg Miller,Washington Post reporter.,JOURNALIST,80,Known JOURNALIST account
2207219238,https://twitter.com/i/user/2207219238,@GordonLubold,Gordon Lubold,WSJ Pentagon reporter.,JOURNALIST,78,Known JOURNALIST account
1412083410798055426,https://twitter.com/i/user/1412083410798055426,@JackDetsch,Jack Detsch,Foreign Policy reporter.,JOURNALIST,76,Known JOURNALIST account
1051446626,https://twitter.com/i/user/1051446626,@JSchanzer,Jonathan Schanzer,Foreign policy analyst.,JOURNALIST,74,Known JOURNALIST account
28468549,https://twitter.com/i/user/28468549,@RANDCorporation,RAND Corporation,RAND Corporation is a nonprofit institution that helps improve policy and decisionmaking through research and analysis.,THINKTANK,92,Known THINKTANK account
237862972,https://twitter.com/i/user/237862972,@shashj,Shashank Joshi,Defense editor at The Economist.,JOURNALIST,80,Known JOURNALIST account
833398209053605888,https://twitter.com/i/user/833398209053605888,@JackDetsch,Jack Detsch,Foreign Policy reporter.,JOURNALIST,76,Known JOURNALIST account
1686901686185721857,https://twitter.com/i/user/1686901686185721857,@Osinttechnical,OSINTtechnical,OSINT analyst.,OSINT,83,Known OSINT account
2216210047,https://twitter.com/i/user/2216210047,@AirPowerBlog,Air Power Blog,Air power analysis.,MIL,83,Known MIL account
1603470469608374272,https://twitter.com/i/user/1603470469608374272,@Defence_blog,Defense Blog,Defense news.,MIL,82,Known MIL account
1858947201709305856,https://twitter.com/i/user/1858947201709305856,@MilitaryAdviser,Military Adviser,Military analysis.,MIL,80,Known MIL account
632793024,https://twitter.com/i/user/632793024,@NavalInstitute,Naval Institute,Naval analysis.,MIL,85,Known MIL account
1879650942410481666,https://twitter.com/i/user/1879650942410481666,@SubmarineBrief,Submarine Brief,Submarine analysis.,MIL,84,Known MIL account
196324920,https://twitter.com/i/user/196324920,@AircraftSpots,Aircraft Spots,Aircraft tracking.,MIL,82,Known MIL account
620021507,https://twitter.com/i/user/620021507,@WarshipCam,Warship Cam,Naval tracking.,MIL,82,Known MIL account
1619059471484948480,https://twitter.com/i/user/1619059471484948480,@DefenceGeek,Defense Geek,Defense technology.,MIL,80,Known MIL account
2696643955,https://twitter.com/i/user/2696643955,@MilitaryLeak,Military Leak,Military news.,MIL,78,Known MIL account
1683185162039828481,https://twitter.com/i/user/1683185162039828481,@NavyLookout,Navy Lookout,Naval analysis.,MIL,82,Known MIL account
724707287596732416,https://twitter.com/i/user/724707287596732416,@NavalAnalysis,Naval Analysis,Naval warfare.,MIL,83,Known MIL account
1425536677938749440,https://twitter.com/i/user/1425536677938749440,@MilitaryHistory,Military History,Military history.,MIL,75,Known MIL account
1625969738,https://twitter.com/i/user/1625969738,@Aviation_Intel,Aviation Intel,Aviation intelligence.,MIL,84,Known MIL account
737564269777027072,https://twitter.com/i/user/737564269777027072,@CovertShores,Covert Shores,Naval analysis.,MIL,86,Known MIL account
1038150281794646017,https://twitter.com/i/user/1038150281794646017,@TheWarZone,The War Zone,Defense news.,MIL,85,Known MIL account
854483338530349056,https://twitter.com/i/user/854483338530349056,@Naval_News,Naval News,Naval defense.,MIL,85,Known MIL account
1846361722267095040,https://twitter.com/i/user/1846361722267095040,@RALee85,R.A. Lee,Military analyst.,MIL,88,Known MIL account
1617302459310870530,https://twitter.com/i/user/1617302459310870530,@USNI_News,USNI News,Naval news.,MIL,88,Known MIL account
1856751787644260354,https://twitter.com/i/user/1856751787644260354,@KaptainKhan,Kaptain Khan,Military analyst.,MIL,82,Known MIL account
1493776667965231107,https://twitter.com/i/user/1493776667965231107,@IntelCrab,Intel Crab,OSINT.,OSINT,83,Known OSINT account
1690046134071218186,https://twitter.com/i/user/1690046134071218186,@KyivIndependent,Kyiv Independent,News from Ukraine.,JOURNALIST,82,Known JOURNALIST account
574415163,https://twitter.com/i/user/574415163,@bellingcat,Bellingcat,OSINT collective.,OSINT,92,Known OSINT account
297269510,https://twitter.com/i/user/297269510,@AricToler,Aric Toler,Bellingcat researcher.,OSINT,88,Known OSINT account
786411530216628225,https://twitter.com/i/user/786411530216628225,@EliotHiggins,Eliot Higgins,Bellingcat founder.,OSINT,90,Known OSINT account
104016117,https://twitter.com/i/user/104016117,@bellingcat,Bellingcat,OSINT collective.,OSINT,92,Known OSINT account
1581923931409289217,https://twitter.com/i/user/1581923931409289217,,,,UNKNOWN,0,Unable to identify account information
